experiment_group,n,exercise_mean,exercise_sd,pre_knowledge_mean,post_knowledge_mean,post_knowledge_sd,code_comprehension_mean,code_comprehension_sd
CHATGPT,88,71.8409090909091,39.654112674949836,2.3295454545454546,3.159090909090909,1.8991005955715758,1.3636363636363635,0.912012025805697
IRIS,91,57.5021978021978,37.361197869274825,2.1758241758241756,2.89010989010989,1.9232527392158054,1.4285714285714286,0.8710511803161501
NOAI,96,29.853125000000002,36.16930351067557,1.9166666666666667,2.7708333333333335,1.9813826467854354,1.1770833333333333,0.8943658931763849
