scale_ratio_lambda_cA_over_cI,assisted_raw_contrast_DA,independent_raw_contrast_DI,composition_threshold_w_star
0.25,0.7820895522388058,-0.7365097588978182,0.7902192658290219
0.2529048600754806,0.7820895522388058,-0.7365097588978182,0.7882977626650401
0.25584347299919374,0.7820895522388058,-0.7365097588978182,0.7863634175624881
0.2588162309603444,0.7820895522388058,-0.7365097588978182,0.7844162317223717
0.2618235307051567,0.7820895522388058,-0.7365097588978182,0.7824562080867272
0.26486577358982377,0.7820895522388058,-0.7365097588978182,0.7804833513610698
0.26794336563407334,0.7820895522388058,-0.7365097588978182,0.7784976680365804
0.2710567175753546,0.7820895522388058,-0.7365097588978182,0.7764991664120151
0.2742062449236565,0.7820895522388058,-0.7365097588978182,0.7744878566153187
0.2773923680169612,0.7820895522388058,-0.7365097588978182,0.7724637506249287
0.28061551207734325,0.7820895522388058,-0.7365097588978182,0.7704268622907542
0.28387610726771934,0.7820895522388058,-0.7365097588978182,0.76837720735481
0.2871745887492587,0.7820895522388058,-0.7365097588978182,0.7663148034714946
0.29051139673945986,0.7820895522388058,-0.7365097588978182,0.7642396702274907
0.2938869765709022,0.7820895522388058,-0.7365097588978182,0.7621518291612759
0.29730177875068026,0.7820895522388058,-0.7365097588978182,0.7600513037822242
0.30075625902052916,0.7820895522388058,-0.7365097588978182,0.7579381195892834
0.3042508784176477,0.7820895522388058,-0.7365097588978182,0.7558123040892105
0.3077861033362291,0.7820895522388058,-0.7365097588978182,0.7536738868143497
0.31136240558970574,0.7820895522388058,-0.7365097588978182,0.7515228993399355
0.31498026247371824,0.7820895522388058,-0.7365097588978182,0.749359375300905
0.31864015682981556,0.7820895522388058,-0.7365097588978182,0.7471833504082009
0.3223425771098948,0.7820895522388058,-0.7365097588978182,0.7449948624645516
0.32608801744139104,0.7820895522388058,-0.7365097588978182,0.742793951379709
0.32987697769322355,0.7820895522388058,-0.7365097588978182,0.7405806591851297
0.3337099635425086,0.7820895522388058,-0.7365097588978182,0.7383550300480808
0.3375874865420475,0.7820895522388058,-0.7365097588978182,0.7361171102851568
0.34151006418859886,0.7820895522388058,-0.7365097588978182,0.7338669483751893
0.345478219991944,0.7820895522388058,-0.7365097588978182,0.7316045949715334
0.3494924835447549,0.7820895522388058,-0.7365097588978182,0.7293301029137167
0.3535533905932738,0.7820895522388058,-0.7365097588978182,0.7270435272384334
0.35766148310881457,0.7820895522388058,-0.7365097588978182,0.7247449251898681
0.3618173093600945,0.7820895522388058,-0.7365097588978182,0.7224343562293352
0.36602142398640636,0.7820895522388058,-0.7365097588978182,0.7201118820442156
0.3702743880716411,0.7820895522388058,-0.7365097588978182,0.7177775665561807
0.3745767692191704,0.7820895522388058,-0.7365097588978182,0.715431475928685
0.3789291416275995,0.7820895522388058,-0.7365097588978182,0.7130736785737121
0.3833320861674001,0.7820895522388058,-0.7365097588978182,0.7107042451577652
0.38778619045843365,0.7820895522388058,-0.7365097588978182,0.7083232486070824
0.3922920489483753,0.7820895522388058,-0.7365097588978182,0.7059307641120667
0.39685026299204984,0.7820895522388058,-0.7365097588978182,0.7035268691309169
0.40146144093168823,0.7820895522388058,-0.7365097588978182,0.7011116433924449
0.4061261981781178,0.7820895522388058,-0.7365097588978182,0.6986851688980702
0.4108451572928951,0.7820895522388058,-0.7365097588978182,0.6962475299229752
0.4156189480713938,0.7820895522388058,-0.7365097588978182,0.6937988130164142
0.42044820762685725,0.7820895522388058,-0.7365097588978182,0.6913391070011616
0.42533358047542785,0.7820895522388058,-0.7365097588978182,0.6888685029720896
0.430275718622165,0.7820895522388058,-0.7365097588978182,0.6863870942938649
0.43527528164806206,0.7820895522388058,-0.7365097588978182,0.6838949765977554
0.4403329367980742,0.7820895522388058,-0.7365097588978182,0.6813922477775363
0.44544935907016964,0.7820895522388058,-0.7365097588978182,0.6788790079844871
0.4506252313054151,0.7820895522388058,-0.7365097588978182,0.6763553596214723
0.4558612442791084,0.7820895522388058,-0.7365097588978182,0.673821407336096
0.4611580967929696,0.7820895522388058,-0.7365097588978182,0.671277258012925
0.4665164957684037,0.7820895522388058,-0.7365097588978182,0.6687230207647734
0.4719371563408467,0.7820895522388058,-0.7365097588978182,0.666158806923041
0.47742080195520825,0.7820895522388058,-0.7365097588978182,0.663584730027103
0.48296816446242274,0.7820895522388058,-0.7365097588978182,0.6610009058127444
0.48857998421712295,0.7820895522388058,-0.7365097588978182,0.658407452199633
0.494257010176448,0.7820895522388058,-0.7365097588978182,0.6558044892778333
0.5,0.7820895522388058,-0.7365097588978182,0.653192139293351
0.5058097201509612,0.7820895522388058,-0.7365097588978182,0.650570526632712
0.5116869459983875,0.7820895522388058,-0.7365097588978182,0.6479397778065713
0.5176324619206887,0.7820895522388058,-0.7365097588978182,0.6453000214323512
0.5236470614103134,0.7820895522388058,-0.7365097588978182,0.6426513882159096
0.5297315471796477,0.7820895522388058,-0.7365097588978182,0.639994010932238
0.5358867312681466,0.7820895522388058,-0.7365097588978182,0.6373280244051914
0.5421134351507092,0.7820895522388058,-0.7365097588978182,0.6346535654862512
0.548412489847313,0.7820895522388058,-0.7365097588978182,0.6319707730323251
0.5547847360339225,0.7820895522388058,-0.7365097588978182,0.6292797878825849
0.5612310241546865,0.7820895522388058,-0.7365097588978182,0.6265807528343508
0.5677522145354387,0.7820895522388058,-0.7365097588978182,0.6238738126180218
