outcome,assisted_days,assisted_mean_d_ctrl,assisted_mean_ci_low,assisted_mean_ci_high,followup_day,followup_d_ctrl,followup_ci_low,followup_ci_high,profile_change_followup_minus_assisted,profile_change_ci_low,profile_change_ci_high
novelty,2-6,1.5473827010125754,0.9145535033993679,2.590000911013873,7,0.4785711330444832,0.00032568940398755873,1.141546892082565,-1.0688115679680923,-1.952751557572713,-0.40904629952816035
novelty,2-6,1.5473827010125754,0.9145535033993679,2.590000911013873,30,0.29133156162252144,-0.1229412250464735,1.0926879599470352,-1.256051139390054,-2.1382821281994207,-0.469561470471234
novelty,2-6,1.5473827010125754,0.9145535033993679,2.590000911013873,60,-0.061530167032732605,-0.487078173025026,0.5218715282937755,-1.608912868045308,-2.8026007067007974,-0.6687406117614045
usefulness,2-6,1.3378835505317006,0.7190368974133527,2.2437993686387045,7,-0.19788550066750593,-0.5828632118904021,0.2545076791324696,-1.5357690511992066,-2.3153530609571,-0.9920753339675221
usefulness,2-6,1.3378835505317006,0.7190368974133527,2.2437993686387045,30,0.438843533226164,-0.030681053923579237,1.131530827123424,-0.8990400173055366,-1.7163208337006397,-0.18049982718531712
usefulness,2-6,1.3378835505317006,0.7190368974133527,2.2437993686387045,60,-0.15661111040163864,-0.5926272301431655,0.4028635379821587,-1.4944946609333392,-2.5616643980357794,-0.5939784343447806
flexibility,2-6,0.8052734963916681,0.3316576885160987,1.6095296469107234,7,-0.19895054193173847,-0.548191758877015,0.22718639140969932,-1.0042240383234067,-1.6854066687678868,-0.5773696146625343
flexibility,2-6,0.8052734963916681,0.3316576885160987,1.6095296469107234,30,0.22697590692987835,-0.1521647353216669,0.9031403981510797,-0.5782975894617898,-1.2264227602349738,-0.004374214640605637
flexibility,2-6,0.8052734963916681,0.3316576885160987,1.6095296469107234,60,-0.008140996631453463,-0.5021340711164014,0.5975609993135311,-0.8134144930231216,-1.8373663930920752,0.024331979674492722
