study,program,design,paired_role,supported_effect_std,supported_ci_low,supported_ci_high,independent_effect_std,independent_ci_low,independent_ci_high,independent_outcome_type,effect_scale,point_source,ci_source,source_doi
Bastani et al. (2025),Bastani,Unrestricted GenAI,classroom mathematics practice -> independent exam,0.47560394893465746,0.25870457181732825,0.6925033260519868,-0.196081963300226,-0.35934978734587003,-0.03281413925458204,immediate independent near-task exam,control-group SD of each corresponding outcome,participant-level harmonized analysis,CR1 model interval; conservative Webb p-values reported separately,10.1073/pnas.2422633122
Bastani et al. (2025),Bastani,Pedagogically guarded AI tutor,classroom mathematics practice -> independent exam,1.2540467812439295,1.0319409922513976,1.4761525702364615,-0.015578497843013276,-0.11297084395058593,0.08181384826455904,immediate independent near-task exam,control-group SD of each corresponding outcome,participant-level harmonized analysis,CR1 model interval; conservative Webb p-values reported separately,10.1073/pnas.2422633122
Bassner et al. (2026),Bassner,Unrestricted ChatGPT,programming exercise -> independent post-knowledge test,1.160867918800709,0.8550749427038508,1.4666608948975668,0.039703573678581114,-0.16510322117447704,0.24451036853163932,immediate independent knowledge assessment,control-group SD of each corresponding outcome,participant-level harmonized analysis,study-specific model interval,10.1016/j.caeai.2025.100537
Bassner et al. (2026),Bassner,Scaffolded Iris,programming exercise -> independent post-knowledge test,0.7644347587184541,0.4712134955456287,1.0576560218912798,-0.03787656023167683,-0.2309883711159166,0.1552352506525629,immediate independent knowledge assessment,control-group SD of each corresponding outcome,participant-level harmonized analysis,study-specific model interval,10.1016/j.caeai.2025.100537
Wong & Qiu (2026),Wong & Qiu,Unrestricted ChatGPT,AI-assisted product improvement -> unassisted product invention,0.7426408630778776,0.400482840429496,1.1736468002572744,0.0424533030400244,-0.2845095723494832,0.4222390486885982,immediate independent creative-transfer task,human-only-group SD of each corresponding outcome,participant-level OSF reanalysis,participant-stratified percentile bootstrap (9999 replicates),10.1007/s10648-026-10118-7
Wong & Qiu (2026),Wong & Qiu,"Think-first, ChatGPT-later",AI-assisted product improvement -> unassisted product invention,0.1729884389200618,-0.1501976195258099,0.5510113050190579,0.5503095995467958,0.1761737378201127,1.026744188741057,immediate independent creative-transfer task,human-only-group SD of each corresponding outcome,participant-level OSF reanalysis,participant-stratified percentile bootstrap (9999 replicates),10.1007/s10648-026-10118-7
