outcome,assisted_estimate,assisted_ci_low,assisted_ci_high,assisted_p_one_sided,independent_estimate,independent_ci_low,independent_ci_high,independent_p_one_sided,intersection_union_p,reverse_orientation_iut_p,orientation_adjusted_reversal_p,opposite_signs_observed,strict_reversal_supported_by_95ci,endpoint_scope,inference_status,holm_adjusted_iut_p_across_outcomes,holm_adjusted_orientation_reversal_p,multiplicity_family_size,task_specific_reversal_supported_0_05
Originality,0.7800000000000002,0.34555327611585746,1.214446723884143,0.0002671443987157166,-0.73,-1.2603258505644876,-0.19967414943551232,0.0036806384837102407,0.0036806384837102407,0.9997328556012843,0.007361276967420481,True,True,expert-rated originality of products in these two tasks only,retrospective; approximate marginal tests; not a new statistical method,0.010133504578021863,0.020267009156043726,3,True
Usefulness,0.6600000000000001,0.2785853652551649,1.0414146347448354,0.00041495775442549157,-0.5799999999999996,-0.9968370339398983,-0.16316296606010094,0.003377834859340621,0.003377834859340621,0.9995850422455745,0.006755669718681242,True,True,expert-rated usefulness of products in these two tasks only,retrospective; approximate marginal tests; not a new statistical method,0.010133504578021863,0.020267009156043726,3,True
Elaboration,1.85,1.2832723211135542,2.416727678886446,1.069004794375105e-09,-0.020000000000000462,-0.46263732983407596,0.42263732983407504,0.4644541277090642,0.4644541277090642,0.9999999989309952,0.9289082554181284,True,False,expert-rated elaboration of products in these two tasks only,retrospective; approximate marginal tests; not a new statistical method,0.4644541277090642,0.9289082554181284,3,False
