outcome,regime,task,contrast,estimate,se,df,t,ci_low,ci_high,p_greater,p_less,p_one_sided,p_two_sided,n_unrestricted,n_learner_first,source,source_doi,bonferroni_family_95ci_low,bonferroni_family_95ci_high,simultaneous_contrast_family_size,simultaneous_coverage_note
Originality,assisted,Task 1 product improvement,unrestricted minus learner-first,0.7800000000000002,0.219578972975862,128.86378245783678,3.552252701745465,0.34555327611585746,1.214446723884143,0.0002671443987157166,0.9997328556012843,0.0002671443987157166,0.0005342887974314332,67,65,published rounded n/mean/SD; Welch approximation,10.1007/s10648-026-10118-7,0.2237512398649305,1.3362487601350699,4,Bonferroni joint 95% nominal; subject to marginal Welch approximation
Originality,independent,Task 2 product invention,unrestricted minus learner-first,-0.73,0.2680011909427417,127.00352054284896,-2.72386849264399,-1.2603258505644876,-0.19967414943551232,0.9963193615162897,0.0036806384837102407,0.0036806384837102407,0.007361276967420481,67,65,published rounded n/mean/SD; Welch approximation,10.1007/s10648-026-10118-7,-1.4090558462276626,-0.05094415377233752,4,Bonferroni joint 95% nominal; subject to marginal Welch approximation
Usefulness,assisted,Task 1 product improvement,unrestricted minus learner-first,0.6600000000000001,0.19276089422425774,127.849925993545,3.4239309931409485,0.2785853652551649,1.0414146347448354,0.00041495775442549157,0.9995850422455745,0.00041495775442549157,0.0008299155088509831,67,65,published rounded n/mean/SD; Welch approximation,10.1007/s10648-026-10118-7,0.17163310923930614,1.148366890760694,4,Bonferroni joint 95% nominal; subject to marginal Welch approximation
Usefulness,independent,Task 2 product invention,unrestricted minus learner-first,-0.5799999999999996,0.2106917151951979,129.7127134522597,-2.752837241192192,-0.9968370339398983,-0.16316296606010094,0.9966221651406594,0.003377834859340621,0.003377834859340621,0.006755669718681242,67,65,published rounded n/mean/SD; Welch approximation,10.1007/s10648-026-10118-7,-1.1136854347980591,-0.04631456520194022,4,Bonferroni joint 95% nominal; subject to marginal Welch approximation
