outcome,regime,task,contrast,estimate,se,df,t,ci_low,ci_high,p_greater,p_less,p_one_sided,p_two_sided,n_unrestricted,n_learner_first,source,source_doi,bonferroni_family_95ci_low,bonferroni_family_95ci_high,simultaneous_contrast_family_size,simultaneous_coverage_note
Originality,assisted,Task 1 product improvement,unrestricted minus learner-first,0.7800000000000002,0.219578972975862,128.86378245783678,3.552252701745465,0.34555327611585746,1.214446723884143,0.0002671443987157166,0.9997328556012843,0.0002671443987157166,0.0005342887974314332,67,65,published rounded n/mean/SD; Welch approximation,10.1007/s10648-026-10118-7,0.19161666866671956,1.368383331333281,6,Bonferroni joint 95% nominal; subject to marginal Welch approximation
Originality,independent,Task 2 product invention,unrestricted minus learner-first,-0.73,0.2680011909427417,127.00352054284896,-2.72386849264399,-1.2603258505644876,-0.19967414943551232,0.9963193615162897,0.0036806384837102407,0.0036806384837102407,0.007361276967420481,67,65,published rounded n/mean/SD; Welch approximation,10.1007/s10648-026-10118-7,-1.4483000856370765,-0.011699914362923503,6,Bonferroni joint 95% nominal; subject to marginal Welch approximation
Usefulness,assisted,Task 1 product improvement,unrestricted minus learner-first,0.6600000000000001,0.19276089422425774,127.849925993545,3.4239309931409485,0.2785853652551649,1.0414146347448354,0.00041495775442549157,0.9995850422455745,0.00041495775442549157,0.0008299155088509831,67,65,published rounded n/mean/SD; Welch approximation,10.1007/s10648-026-10118-7,0.14341421028797585,1.1765857897120244,6,Bonferroni joint 95% nominal; subject to marginal Welch approximation
Usefulness,independent,Task 2 product invention,unrestricted minus learner-first,-0.5799999999999996,0.2106917151951979,129.7127134522597,-2.752837241192192,-0.9968370339398983,-0.16316296606010094,0.9966221651406594,0.003377834859340621,0.003377834859340621,0.006755669718681242,67,65,published rounded n/mean/SD; Welch approximation,10.1007/s10648-026-10118-7,-1.1445112234496877,-0.015488776550311556,6,Bonferroni joint 95% nominal; subject to marginal Welch approximation
Elaboration,assisted,Task 1 product improvement,unrestricted minus learner-first,1.85,0.2863326447809942,124.10738386226397,6.461016701099521,1.2832723211135542,2.416727678886446,1.069004794375105e-09,0.9999999989309952,1.069004794375105e-09,2.13800958875021e-09,67,65,published rounded n/mean/SD; Welch approximation,10.1007/s10648-026-10118-7,1.0822831421994912,2.617716857800509,6,Bonferroni joint 95% nominal; subject to marginal Welch approximation
Elaboration,independent,Task 2 product invention,unrestricted minus learner-first,-0.020000000000000462,0.22373394278181852,129.7976901279775,-0.08939188998919184,-0.46263732983407596,0.42263732983407504,0.5355458722909359,0.4644541277090642,0.4644541277090642,0.9289082554181284,67,65,published rounded n/mean/SD; Welch approximation,10.1007/s10648-026-10118-7,-0.6194494654973132,0.5794494654973122,6,Bonferroni joint 95% nominal; subject to marginal Welch approximation
