study,outcome,design,assisted_effect_std,assisted_ci_low,assisted_ci_high,independent_effect_std,independent_ci_low,independent_ci_high,independent_minus_assisted_std,profile_change_ci_low,profile_change_ci_high,profile_change_bootstrap_sign_tail,assisted_effect_raw,independent_effect_raw,raw_profile_change,bootstrap_reps
Wong & Qiu (2026),Originality,Unrestricted ChatGPT,0.7426408630778776,0.400482840429496,1.1736468002572744,0.0424533030400244,-0.2845095723494832,0.4222390486885982,-0.7001875600378531,-1.184533880764343,-0.2536515309122826,0.0036,1.0195895522388057,0.0615671641791046,-0.958022388059701,9999
Wong & Qiu (2026),Originality,"Think-first, ChatGPT-later",0.1729884389200618,-0.1501976195258099,0.5510113050190579,0.5503095995467958,0.1761737378201127,1.026744188741057,0.377321160626734,-0.0777789903198949,0.8712672496506132,0.1022,0.2374999999999998,0.7980769230769229,0.5605769230769231,9999
Wong & Qiu (2026),Usefulness,Unrestricted ChatGPT,0.3966505228700243,0.0772424301994946,0.7691828416022581,0.0326859664430024,-0.3279081996586102,0.3719618538870097,-0.3639645564270219,-0.8340586610829878,0.0601649639251499,0.0904,0.5019822761194028,0.0403451492537314,-0.4616371268656714,9999
Wong & Qiu (2026),Usefulness,"Think-first, ChatGPT-later",-0.1250783364157173,-0.4537017863950909,0.2191731890067122,0.5014803344223195,0.169801665035207,0.8578211595723247,0.6265586708380368,0.1935272525085211,1.0713330196422697,0.0056,-0.1582932692307692,0.618990384615385,0.7772836538461543,9999
