outcome,scale,interaction_estimate,interaction_se,interaction_ci_low,interaction_ci_high,interaction_p,n_participants,n_long_rows,covariance
Originality,raw,1.5185993111366158,0.2884609195273262,0.9532262979157496,2.083972324357482,1.4057988668010132e-07,132,264,participant-clustered HC
Originality,std,1.0775087206645864,0.20307145886943312,0.6794959749924905,1.4755214663366822,1.1202198706392963e-07,132,264,participant-clustered HC
Usefulness,raw,1.2389207807118143,0.2596099024995876,0.7300947217826677,1.747746839640961,1.8218815134318973e-06,132,264,participant-clustered HC
Usefulness,std,0.9905232272650578,0.20804842622558595,0.5827558048226709,1.3982906497074448,1.926146211393373e-06,132,264,participant-clustered HC
