study,outcome,intervention,comparator,effect,se,p_value,ci_low,ci_high
Bassner et al. (2026),supported_exercise_score_0_100,CHATGPT,NOAI,41.987784090909116,5.643123573250528,1.0028834810123074e-13,30.9274651270291,53.04810305478913
Bassner et al. (2026),supported_exercise_score_0_100,IRIS,NOAI,27.649072802197818,5.4111243610276984,3.227178956804582e-07,17.043463938716215,38.25468166567942
Bassner et al. (2026),post_knowledge_0_6_ancova,CHATGPT,NOAI,0.07866797190210764,0.20704494187979872,0.7039780627495347,-0.3271326573634865,0.48446860116770185
Bassner et al. (2026),post_knowledge_0_6_ancova,IRIS,NOAI,-0.07504795916296783,0.19522215407704804,0.7006646790028244,-0.4576763501383113,0.3075804318123756
Bassner et al. (2026),post_code_comprehension_0_3_ancova,CHATGPT,NOAI,0.1628421620869906,0.1337498224638087,0.22340905211997442,-0.09930267288070072,0.4249869970546819
Bassner et al. (2026),post_code_comprehension_0_3_ancova,IRIS,NOAI,0.2366051568861385,0.13016982551677211,0.06911532564198831,-0.01852301300059775,0.49173332677287473
