study,group,n_observations,n_participants,assisted_mean,assisted_sd,independent_mean,independent_sd,pre_mean,pre_sd,post_mean,post_sd,gain_mean,gain_sd
Bastani et al. (2025),control,1062,316,0.28465160075329565,0.2880920058887466,0.32375805234209193,0.27716132950904193,,,,,,
Bastani et al. (2025),vanilla,824,238,0.4749393203883495,0.25649520415038946,0.2893053388426568,0.23296258527792632,,,,,,
Bastani et al. (2025),augmented,962,271,0.66995841995842,0.30916758828336366,0.3186746155496155,0.2817445579092089,,,,,,
Kestin et al. (2025),In-class active learning,174,174,,,,,2.5579501911141405,1.2843678785205281,3.5656130238511095,1.2951098072800429,,
Kestin et al. (2025),AI tutor,142,142,,,,,2.7969483565276776,1.3655052128674174,4.310446000434983,1.0147233856069553,,
Pardos & Bhandari (2024),No-hint control,90,90,,,,,0.5515222222222222,0.3244412734996311,0.5701111111111111,0.37139362335756615,0.018533333333333336,0.33637162434266266
Pardos & Bhandari (2024),Human tutor,86,86,,,,,0.5345581395348836,0.3440014228647442,0.6509186046511628,0.36125084050759226,0.11623255813953488,0.3223105070076006
Pardos & Bhandari (2024),ChatGPT,98,98,,,,,0.43508163265306127,0.352930870643214,0.6052142857142857,0.37795393953810186,0.17001020408163267,0.33235456457800333
