outcome,D_A,D_I,lambda,w_star,interpretation
originality,0.782090,-0.736510,3.550000,0.209656967,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,3.600000,0.207348844,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,3.650000,0.205090988,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,3.700000,0.202881775,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,3.750000,0.200719650,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,3.800000,0.198603122,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,3.850000,0.196530765,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,3.900000,0.194501210,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,3.950000,0.192513144,aggregate tie boundary on declared relative scale
originality,0.782090,-0.736510,4.000000,0.190565309,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,0.250000,0.778047933,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,0.300000,0.744978050,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,0.350000,0.714604734,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,0.400000,0.686611084,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,0.450000,0.660727981,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,0.500000,0.636725412,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,0.550000,0.614405617,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,0.600000,0.593597626,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,0.650000,0.574152868,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,0.700000,0.555941626,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,0.750000,0.538850132,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,0.800000,0.522778193,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,0.850000,0.507637221,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,0.900000,0.493348604,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,0.950000,0.479842338,aggregate tie boundary on declared relative scale
